feature,mean_abs_shap
CPOR_SM,0.5833954947781251
PHIT,0.12312223903954472
Zone,0.10794895419177927
RHOB,0.08111171965833908
PEF_missing_source,0.06311440077384226
NPHI,0.06258435049041546
SWT,0.05214550502956821
DT,0.03628651486925259
PEF,0.02703083022109739
MSFL,0.018160839624875514
CALI,0.015439611510199302
CT,0.01478943538775298
GR,0.012888022168253587
Source,0.01253376404055043
RT,0.011953392267250387
DEPTH,0.010490019587850367
DRHO,0.009561469784641312
DT_missing_source,0.008289210278779382
CT_missing,0.0017016230493512759
SWT_missing,0.001615877198824592
RT_missing,0.0014884419178092857
MSFL_missing_source,0.0005255496823205781
